ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,16916.27072807952,14082.509056286304,47397.718431537134,16916.27072807952,16916.27072807952,13613.66425361409,13613.66425361409,13613.66425361409,-1346.9894229470012,-1346.9894229470012,-1346.9894229470012,14960.65367656109,14960.65367656109,14960.65367656109,0.0,0.0,0.0,30529.93498169361
2010-12-02,16988.696638722442,22720.345294703788,55298.155645634986,16988.696638722442,16988.696638722442,22030.968252603558,22030.968252603558,22030.968252603558,5890.5759972632695,5890.5759972632695,5890.5759972632695,16140.392255340292,16140.392255340292,16140.392255340292,0.0,0.0,0.0,39019.664891326
2010-12-03,17061.122549365366,15150.989197778688,48652.293498495834,17061.122549365366,17061.122549365366,14910.7642388965,14910.7642388965,14910.7642388965,-2288.5020531496216,-2288.5020531496216,-2288.5020531496216,17199.26629204612,17199.26629204612,17199.26629204612,0.0,0.0,0.0,31971.886788261865
2010-12-05,17205.974370651205,5456.765501324026,36681.85961809433,17205.974370651205,17205.974370651205,3162.3689073526266,3162.3689073526266,3162.3689073526266,-15685.509640898563,-15685.509640898563,-15685.509640898563,18847.878548251192,18847.878548251192,18847.878548251192,0.0,0.0,0.0,20368.34327800383
2010-12-06,17278.400281294125,17527.866846494744,50415.61454364503,17278.400281294125,17278.400281294125,16695.041898919728,16695.041898919728,16695.041898919728,-2697.3171449896927,-2697.3171449896927,-2697.3171449896927,19392.35904390942,19392.35904390942,19392.35904390942,0.0,0.0,0.0,33973.44218021385
2010-12-07,17350.82619193705,23495.818825598257,56629.76541806465,17350.82619193705,17350.82619193705,21232.861811365052,21232.861811365052,21232.861811365052,1506.1291002807877,1506.1291002807877,1506.1291002807877,19726.732711084263,19726.732711084263,19726.732711084263,0.0,0.0,0.0,38583.6880033021
2010-12-08,17423.252102579972,19971.806109583467,53403.893095273816,17423.252102579972,17423.252102579972,18492.08939410665,18492.08939410665,18492.08939410665,-1346.9894230306395,-1346.9894230306395,-1346.9894230306395,19839.07881713729,19839.07881713729,19839.07881713729,0.0,0.0,0.0,35915.341496686626
2010-12-09,17495.678013222892,26320.55010547749,58711.4009358123,17495.678013222892,17495.678013222892,25613.117863170257,25613.117863170257,25613.117863170257,5890.575997276857,5890.575997276857,5890.575997276857,19722.541865893403,19722.541865893403,19722.541865893403,0.0,0.0,0.0,43108.79587639315
2010-12-10,17568.103923865812,18084.14547646461,51874.50881376111,17568.103923865812,17568.103923865812,17087.070531599722,17087.070531599722,17087.070531599722,-2288.502053149673,-2288.502053149673,-2288.502053149673,19375.57258474939,19375.57258474939,19375.57258474939,0.0,0.0,0.0,34655.17445546553
2010-12-12,17712.95574515166,2777.8064686377534,37501.12285044238,17712.95574515166,17712.95574515166,2325.646132811141,2325.646132811141,2325.646132811141,-15685.509640913904,-15685.509640913904,-15685.509640913904,18011.155773725044,18011.155773725044,18011.155773725044,0.0,0.0,0.0,20038.6018779628
2010-12-13,17785.38165579458,15962.625072655776,47349.54484414093,17785.38165579458,17785.38165579458,14320.058629142648,14320.058629142648,14320.058629142648,-2697.3171450148216,-2697.3171450148216,-2697.3171450148216,17017.37577415747,17017.37577415747,17017.37577415747,0.0,0.0,0.0,32105.440284937227
2010-12-14,17857.807873844147,17936.51493532033,51239.148262840274,17857.807873844147,17857.807873844147,17346.136753955867,17346.136753955867,17346.136753955867,1506.129100232911,1506.129100232911,1506.129100232911,15840.007653722954,15840.007653722954,15840.007653722954,0.0,0.0,0.0,35203.94462780001
2010-12-15,17930.23409189372,13297.005691611852,46643.610594473335,17930.23409189372,17930.23409189372,13155.817523521095,13155.817523521095,13155.817523521095,-1346.9894229848503,-1346.9894229848503,-1346.9894229848503,14502.806946505942,14502.806946505942,14502.806946505942,0.0,0.0,0.0,31086.051615414814
2010-12-16,18002.660309943287,20602.35213165816,53946.22554448844,18002.660309943287,18002.660309943287,18923.983719473446,18923.983719473446,18923.983719473446,5890.575997290444,5890.575997290444,5890.575997290444,13033.407722183,13033.407722183,13033.407722183,0.0,0.0,0.0,36926.64402941673
2010-12-17,18075.086527992855,10742.81748107279,43928.16370026876,18075.086527992855,18075.086527992855,9174.155031872433,9174.155031872433,9174.155031872433,-2288.502053127061,-2288.502053127061,-2288.502053127061,11462.657084999491,11462.657084999491,11462.657084999491,0.0,0.0,0.0,27249.241559865288
2010-12-19,18219.938964091994,-5445.2691882457775,26710.334768059853,18219.938964091994,18219.938964091994,-7533.535924842097,-7533.535924842097,-7533.535924842097,-15685.509640876457,-15685.509640876457,-15685.509640876457,8151.97371603436,8151.97371603436,8151.97371603436,0.0,0.0,0.0,10686.403039249897
2010-12-20,18292.365182141562,5209.044123551438,37526.62955321514,18292.365182141562,18292.365182141562,3785.396965338136,3785.396965338136,3785.396965338136,-2697.317145021237,-2697.317145021237,-2697.317145021237,6482.714110359374,6482.714110359374,6482.714110359374,0.0,0.0,0.0,22077.762147479698
2010-12-21,18364.79140019113,7504.317513791399,40973.27435731523,18364.79140019113,18364.79140019113,6357.824332493624,6357.824332493624,6357.824332493624,1506.1291003082313,1506.1291003082313,1506.1291003082313,4851.695232185392,4851.695232185392,4851.695232185392,0.0,0.0,0.0,24722.615732684753
2010-12-22,18437.217618240702,3765.1662582383306,38333.73888295835,18437.217618240702,18437.217618240702,1946.5375187801621,1946.5375187801621,1946.5375187801621,-1346.989423003775,-1346.989423003775,-1346.989423003775,3293.526941783937,3293.526941783937,3293.526941783937,0.0,0.0,0.0,20383.755137020864
2010-12-23,18509.643836290266,9364.753801273178,41340.152958795676,18509.643836290266,18509.643836290266,7731.529236889925,7731.529236889925,7731.529236889925,5890.575997248522,5890.575997248522,5890.575997248522,1840.9532396414024,1840.9532396414024,1840.9532396414024,0.0,0.0,0.0,26241.17307318019
2011-01-04,19378.758495092967,3690.3009718564185,36783.867393205015,19378.758495092967,19378.758495092967,691.6815493380723,691.6815493380723,691.6815493380723,1506.1291002675516,1506.1291002675516,1506.1291002675516,-814.4475509294795,-814.4475509294795,-814.4475509294795,0.0,0.0,0.0,20070.440044431038
2011-01-05,19451.184716659856,1848.4446056262823,34808.31300763338,19451.184716659856,19451.184716659856,-1173.5195270182655,-1173.5195270182655,-1173.5195270182655,-1346.9894229006488,-1346.9894229006488,-1346.9894229006488,173.46989588238364,173.46989588238364,173.46989588238364,0.0,0.0,0.0,18277.66518964159
2011-01-06,19523.61093822675,11184.296572612677,43191.073879084885,19523.61093822675,19523.61093822675,7150.001237724011,7150.001237724011,7150.001237724011,5890.575997275697,5890.575997275697,5890.575997275697,1259.4252404483143,1259.4252404483143,1259.4252404483143,0.0,0.0,0.0,26673.61217595076
2011-01-07,19596.037159793643,3495.7687027835013,36720.157185592245,19596.037159793643,19596.037159793643,122.8440329201914,122.8440329201914,122.8440329201914,-2288.502053178005,-2288.502053178005,-2288.502053178005,2411.346086098195,2411.346086098195,2411.346086098195,0.0,0.0,0.0,19718.881192713834
2011-01-09,19740.889602927422,-7319.623184432963,25558.136102072076,19740.889602927422,19740.889602927422,-10906.267984382777,-10906.267984382777,-10906.267984382777,-15685.509640926275,-15685.509640926275,-15685.509640926275,4779.241656543496,4779.241656543496,4779.241656543496,0.0,0.0,0.0,8834.621618544645
2011-01-10,19813.315824494315,6464.307101050249,38452.19386013468,19813.315824494315,19813.315824494315,3230.8125164903777,3230.8125164903777,3230.8125164903777,-2697.3171450591985,-2697.3171450591985,-2697.3171450591985,5928.129661549576,5928.129661549576,5928.129661549576,0.0,0.0,0.0,23044.128340984695
2011-01-11,19885.74204606121,13270.882868642191,45389.0230506959,19885.74204606121,19885.74204606121,8516.666678424574,8516.666678424574,8516.666678424574,1506.1291002877979,1506.1291002877979,1506.1291002877979,7010.537578136777,7010.537578136777,7010.537578136777,0.0,0.0,0.0,28402.40872448578
2011-01-12,19958.168267628098,10153.526978144917,43767.45075889707,19958.168267628098,19958.168267628098,6649.599328639488,6649.599328639488,6649.599328639488,-1346.9894229842887,-1346.9894229842887,-1346.9894229842887,7996.588751623776,7996.588751623776,7996.588751623776,0.0,0.0,0.0,26607.767596267586
2011-01-13,20030.59448919499,17939.600188716577,51362.02100973379,20030.59448919499,20030.59448919499,14749.858196948078,14749.858196948078,14749.858196948078,5890.575997289284,5890.575997289284,5890.575997289284,8859.282199658794,8859.282199658794,8859.282199658794,0.0,0.0,0.0,34780.45268614307
2011-01-14,20103.02071076188,10059.676847138142,44098.64820129788,20103.02071076188,20103.02071076188,7286.658378716541,7286.658378716541,7286.658378716541,-2288.50205316946,-2288.50205316946,-2288.50205316946,9575.160431886,9575.160431886,9575.160431886,0.0,0.0,0.0,27389.67908947842
2011-01-16,20247.873159712435,-3062.03482870398,31124.234628557042,20247.873159712435,20247.873159712435,-5191.856019512008,-5191.856019512008,-5191.856019512008,-15685.50964096174,-15685.50964096174,-15685.50964096174,10493.653621449734,10493.653621449734,10493.653621449734,0.0,0.0,0.0,15056.017140200427
2011-01-17,20320.29938418771,11070.331362530555,44978.90313982425,20320.29938418771,20320.29938418771,7974.285649417419,7974.285649417419,7974.285649417419,-2697.3171450075774,-2697.3171450075774,-2697.3171450075774,10671.602794424998,10671.602794424998,10671.602794424998,0.0,0.0,0.0,28294.58503360513
2011-01-18,20392.725608662986,16461.447002824225,48538.308276936456,20392.725608662986,20392.725608662986,12160.058622978193,12160.058622978193,12160.058622978193,1506.1291003080432,1506.1291003080432,1506.1291003080432,10653.929522670149,10653.929522670149,10653.929522670149,0.0,0.0,0.0,32552.784231641177
2011-01-19,20465.151833138265,12779.43591905838,47193.0479351693,20465.151833138265,20465.151833138265,9093.997239350632,9093.997239350632,9093.997239350632,-1346.9894229269519,-1346.9894229269519,-1346.9894229269519,10440.986662277584,10440.986662277584,10440.986662277584,0.0,0.0,0.0,29559.149072488897
2011-01-20,20537.57805761354,20298.272964729535,53384.790103252446,20537.57805761354,20537.57805761354,15928.772387233925,15928.772387233925,15928.772387233925,5890.5759972473625,5890.5759972473625,5890.5759972473625,10038.196389986566,10038.196389986566,10038.196389986566,0.0,0.0,0.0,36466.35044484746
2011-01-21,20610.00428208882,10317.063612849162,43566.23151193115,20610.00428208882,20610.00428208882,7167.334879067197,7167.334879067197,7167.334879067197,-2288.5020531695104,-2288.5020531695104,-2288.5020531695104,9455.836932236709,9455.836932236709,9455.836932236709,0.0,0.0,0.0,27777.339161156015
2011-01-23,20754.856731039374,-4480.541958044792,29100.04318602814,20754.856731039374,20754.856731039374,-7869.864720180389,-7869.864720180389,-7869.864720180389,-15685.509640924296,-15685.509640924296,-15685.509640924296,7815.644920743904,7815.644920743904,7815.644920743904,0.0,0.0,0.0,12884.992010858985
2011-01-24,20827.28295551465,7740.905252903636,41631.871407673956,20827.28295551465,20827.28295551465,4101.699327606587,4101.699327606587,4101.699327606587,-2697.3171451094595,-2697.3171451094595,-2697.3171451094595,6799.016472716046,6799.016472716046,6799.016472716046,0.0,0.0,0.0,24928.982283121237
2011-01-25,20899.709179989928,10886.114438735714,43619.380874797374,20899.709179989928,20899.709179989928,7190.149420492438,7190.149420492438,7190.149420492438,1506.1291002471196,1506.1291002471196,1506.1291002471196,5684.0203202453185,5684.0203202453185,5684.0203202453185,0.0,0.0,0.0,28089.858600482366
2011-01-26,20972.135404465207,7734.619198158177,41314.75881698807,20972.135404465207,20972.135404465207,3151.007536810878,3151.007536810878,3151.007536810878,-1346.9894229458764,-1346.9894229458764,-1346.9894229458764,4497.996959756755,4497.996959756755,4497.996959756755,0.0,0.0,0.0,24123.142941276084
2011-01-27,21044.561629156946,13817.282723930515,46914.52097267254,21044.561629156946,21044.561629156946,9160.23697875876,9160.23697875876,9160.23697875876,5890.57599721246,5890.57599721246,5890.57599721246,3269.6609815462984,3269.6609815462984,3269.6609815462984,0.0,0.0,0.0,30204.798607915705
2011-01-28,21116.987853848692,2333.1653598271623,37364.91720557017,21116.987853848692,21116.987853848692,-260.19055446873006,-260.19055446873006,-260.19055446873006,-2288.502053146901,-2288.502053146901,-2288.502053146901,2028.3114986781707,2028.3114986781707,2028.3114986781707,0.0,0.0,0.0,20856.797299379963
