Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,1,VIP
12347.0,2,182,4310.0,0,Regular
12348.0,75,31,1797.24,0,Regular
12349.0,19,73,1757.55,0,Regular
12350.0,310,17,334.40000000000003,1,VIP
12352.0,36,85,2506.04,0,Regular
12353.0,204,4,89.0,1,VIP
12354.0,232,58,1079.4,1,VIP
12355.0,214,13,459.40000000000003,1,VIP
12356.0,23,59,2811.43,0,Regular
12357.0,33,131,6207.67,0,Regular
12358.0,2,19,1168.06,0,Regular
12359.0,58,245,6310.03,0,Regular
12360.0,52,129,2662.06,0,Regular
12361.0,287,10,189.9,1,VIP
12362.0,3,266,5226.2300000000005,0,Regular
12363.0,110,23,552.0,0,Regular
12364.0,8,85,1313.1,0,Regular
12365.0,291,22,641.38,1,VIP
12367.0,4,11,168.9,0,Regular
12370.0,51,166,3541.94,0,Regular
12371.0,45,63,1887.96,0,Regular
12372.0,72,52,1298.04,0,Regular
12373.0,311,14,364.6,1,VIP
12374.0,25,33,742.9300000000001,0,Regular
12375.0,11,17,457.5,0,Regular
12377.0,315,77,1628.1200000000001,1,VIP
12378.0,130,219,4008.62,0,Regular
12379.0,82,40,852.24,0,Regular
12380.0,22,104,2724.81,0,Regular
12381.0,5,87,1845.31,0,Regular
12383.0,185,99,1850.56,1,VIP
12384.0,29,27,585.27,0,Regular
12386.0,338,10,401.9,1,VIP
12388.0,16,100,2780.6600000000003,0,Regular
12390.0,80,32,549.84,0,Regular
12391.0,22,93,439.66,0,Regular
12393.0,72,64,1582.6000000000001,0,Regular
12394.0,64,27,1272.48,0,Regular
12395.0,19,156,3018.63,0,Regular
12397.0,36,126,2409.9,0,Regular
12398.0,46,85,1635.6599999999999,0,Regular
12399.0,119,59,1108.65,0,Regular
12401.0,303,5,84.3,1,VIP
12402.0,323,11,225.60000000000002,1,VIP
12403.0,50,5,427.7,0,Regular
12405.0,149,54,1710.39,1,VIP
12406.0,22,105,3415.3,0,Regular
12407.0,50,77,1708.12,0,Regular
12408.0,33,105,2888.55,0,Regular
12409.0,79,109,11072.67,0,Regular
12410.0,309,26,693.33,1,VIP
12412.0,75,61,1226.88,0,Regular
12413.0,67,38,758.1,0,Regular
12414.0,217,18,562.4100000000001,1,VIP
12415.0,24,714,124914.53,2,Loyal
12417.0,3,192,3649.1,0,Regular
12418.0,113,34,668.58,0,Regular
12420.0,64,29,600.39,0,Regular
12421.0,16,45,807.04,0,Regular
12422.0,96,39,803.5600000000001,0,Regular
12423.0,1,125,1859.31,0,Regular
12424.0,163,30,1760.96,1,VIP
12425.0,78,36,777.2,0,Regular
12426.0,195,30,582.73,1,VIP
12427.0,22,31,825.8000000000001,0,Regular
12428.0,26,294,7956.46,0,Regular
12429.0,9,97,3750.4,0,Regular
12430.0,43,11,256.4,0,Regular
12431.0,36,234,6419.95,0,Regular
12432.0,43,108,5059.32,0,Regular
12433.0,1,420,13375.87,0,Regular
12434.0,85,50,806.14,0,Regular
12435.0,80,36,7829.89,0,Regular
12436.0,100,16,509.01,0,Regular
12437.0,2,199,4951.41,0,Regular
12438.0,14,98,2906.85,0,Regular
12441.0,367,11,173.55,1,VIP
12442.0,3,12,172.06,0,Regular
12444.0,21,176,5005.46,0,Regular
12445.0,22,4,133.4,0,Regular
12446.0,58,57,1002.3100000000001,0,Regular
12447.0,243,26,476.49,1,VIP
12448.0,44,22,449.45,0,Regular
12449.0,22,191,4067.29,0,Regular
12450.0,156,8,197.88,1,VIP
12451.0,11,354,9035.52,0,Regular
12452.0,17,22,430.57000000000005,0,Regular
12453.0,134,43,707.09,0,Regular
12454.0,56,15,3528.34,0,Regular
12455.0,73,90,2466.86,0,Regular
12456.0,44,125,3181.04,0,Regular
12457.0,66,62,2363.23,0,Regular
12458.0,71,38,947.4,0,Regular
12461.0,94,35,826.88,0,Regular
12462.0,19,62,1189.59,0,Regular
12463.0,53,83,1344.78,0,Regular
12464.0,10,29,1212.05,0,Regular
12465.0,17,47,742.19,0,Regular
12468.0,188,38,729.54,1,VIP
12471.0,2,459,19788.65,0,Regular
12472.0,32,339,6572.11,0,Regular
12473.0,29,167,3928.05,0,Regular
12474.0,17,422,7324.09,0,Regular
12475.0,54,36,723.38,0,Regular
12476.0,16,233,6816.42,0,Regular
12477.0,23,300,13219.74,0,Regular
12478.0,4,36,680.99,0,Regular
12479.0,11,31,527.2,0,Regular
12480.0,28,154,3281.63,0,Regular
12481.0,23,216,5579.82,0,Regular
12483.0,17,75,2484.98,0,Regular
12484.0,33,343,4527.32,0,Regular
12488.0,10,55,1298.66,0,Regular
12489.0,336,15,334.93,1,VIP
12490.0,5,245,5417.93,0,Regular
